name,long,lat
lotus,85.538343,27.620387
hamrodaiko cafe,85.538659,27.620520
brew and bite,85.538466,27.620610
sherpa hotel, 85.538006,27.620716
devi hd,85.538623,27.621101
manakama, 85.538354,27.620906
metro cafe, 85.538317,27.620977
mayo cafe, 85.538188, 27.621723
the brew house, 85.539641,27.621681
bhakundol futsal,85.539958, 27.621766
thuldai ko chiyachautari,85.541331,27.621300
ku library,85.538521,27.618976
Ku fast food cafe,85.538338, 27.618396
ku mesh, 85.537866, 27.618002
Downtown cafe,85.537222,27.617090
ku canteen,85.538842,27.619214
kanxi dd pasal,85.538065,27.617446
anisha bhansa ghar,85.538290, 27.617455
Bfc, 85.538702,27.621438
sitosna,85.538452,27.621286
the royal bhakundol skating,85.541246,27.621229